Pipeline,Date,Rate Schedule,Receipt Point,Receipt Zone,Delivery Point,Delivery Zone,Tariff Rate Type,Tariff Rate,Magnitude,Tariff Rate Structure,Rate Zone
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1-GXP,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Reservation,0.33720,$/Dth/day ,Zone Surcharge,Market
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-2,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-2,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Commodity,0.01090,$/Dth     ,System,Entire System
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-2,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Fuel,0.26000,%         ,Zone Surcharge,Onshore
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-2,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Overrun,0.06640,$/Dth     ,System,Entire System
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-2,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Reservation,0.05550,$/Dth/day ,System,Entire System
"Columbia Gulf Transmission, LLC",07/01/2018,IMS,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Commodity,0.14800,$/Dth     ,Zone Surcharge,Market
"Columbia Gulf Transmission, LLC",07/01/2018,IMS,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Fuel,0.26000,%         ,Zone Surcharge,Onshore
"Columbia Gulf Transmission, LLC",07/01/2018,ITS-1,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gulf Transmission, LLC",07/01/2018,ITS-1,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Commodity,0.14800,$/Dth     ,Zone Surcharge,Market
